# Simulation Results - Initial Trend: 2.57e-05
event_number,scheduled_local_time,actual_local_time,actual_global_time,next_scheduled_local_time,calculated_next_global_time,trend,alpha
1,50000,50000,50000,100000,99998.64392822326,2.5740654221533068e-05,1.3815169056482147e-06
2,100000,100000,99998,150000,149996.72922248318,2.5740654221533068e-05,-3.2445791863334295e-07
3,150000,150000,149996,200000,199994.74673663653,2.5740654221533068e-05,-6.747586685677128e-07
4,200000,200000,199994,250000,249992.68866098044,2.5740654221533068e-05,4.868140321013056e-07
5,250000,250000,249992,300000,299990.6426113646,2.5740654221533068e-05,1.407855508707711e-06
6,300000,300000,299990,350000,349988.7554482651,2.5740654221533068e-05,-8.489999446965105e-07
7,350000,350000,349988,400000,399986.69539379014,2.5740654221533068e-05,3.521507929761109e-07
8,400000,400000,399986,450000,449984.729807313,2.5740654221533068e-05,-3.361551096977208e-07
9,450000,450000,449984,500000,499982.69640895125,2.5740654221533068e-05,3.318465108607877e-07
10,500000,500000,499982,550000,549980.6736682659,2.5740654221533068e-05,7.866841414464994e-07
11,550000,550000,549980,600000,599978.7027805706,2.5740654221533068e-05,2.0440749527703375e-07
12,600000,600000,599978,650000,649976.7670144645,2.5740654221533068e-05,-1.0803353951138777e-06
13,650000,650000,649976,700000,699974.732301345,2.5740654221533068e-05,-3.860382812081053e-07
14,700000,700000,699974,750000,749972.7536956741,2.5740654221533068e-05,-8.139463778880818e-07
15,750000,750000,749972,800000,799970.7085268912,2.5740654221533068e-05,8.947513372851469e-08
16,800000,800000,799970,850000,849968.6482963489,2.5740654221533068e-05,1.2941496614691848e-06
17,850000,850000,849968,900000,899966.760145894,2.5740654221533068e-05,-9.429571902967197e-07
18,900000,900000,899966,950000,949964.6900032609,2.5740654221533068e-05,4.5996701607695616e-07
19,950000,950000,949964,1000000,999962.7526805544,2.5740654221533068e-05,-7.936429711904283e-07
20,1000000,1000000,999962,1050000,1049960.712840895,2.5740654221533068e-05,3.1906074294335173e-09
21,1050000,1050000,1049960,1100000,1099958.7016691035,2.5740654221533068e-05,2.2663799297500273e-07
22,1100000,1100000,1099958,1150000,1149956.7389154518,2.5740654221533068e-05,-5.183271080709065e-07
23,1150000,1150000,1149956,1200000,1199954.6957001223,2.5740654221533068e-05,3.4602382955985785e-07
24,1200000,1200000,1199954,1250000,1249952.7078904118,2.5740654221533068e-05,1.0220537971129473e-07
25,1250000,1250000,1249952,1300000,1299950.7097672943,2.5740654221533068e-05,6.466578707905819e-08
26,1300000,1300000,1299950,1350000,1349948.6927766746,2.5740654221533068e-05,4.0449583888697557e-07
27,1350000,1350000,1349948,1400000,1399946.7423280287,2.5740654221533068e-05,-5.865820808952254e-07
28,1400000,1400000,1399946,1450000,1449944.763537507,2.5740654221533068e-05,-1.0107928134458178e-06
29,1450000,1450000,1449944,1500000,1499942.7304897541,2.5740654221533068e-05,-3.498046267118618e-07
30,1500000,1500000,1499942,1550000,1549940.6902110814,2.5740654221533068e-05,4.5581038676320286e-07
31,1550000,1550000,1549940,1600000,1599938.7681895788,2.5740654221533068e-05,-1.1038388402018966e-06
32,1600000,1600000,1599938,1650000,1649936.7133028675,2.5740654221533068e-05,-6.049320398301172e-09
33,1650000,1650000,1649936,1700000,1699934.6971967982,2.5740654221533068e-05,3.160887519872003e-07
34,1700000,1700000,1699934,1750000,1749932.7051837936,2.5740654221533068e-05,1.5634054590204517e-07
35,1750000,1750000,1749932,1800000,1799930.757021154,2.5740654221533068e-05,-8.804592885886722e-07
36,1800000,1800000,1799930,1850000,1849928.7152757253,2.5740654221533068e-05,-4.55085028963146e-08
37,1850000,1850000,1849928,1900000,1899926.6720135752,2.5740654221533068e-05,8.197797143764807e-07
38,1900000,1900000,1899926,1950000,1949924.7323534968,2.5740654221533068e-05,-3.870813712460173e-07
39,1950000,1950000,1949924,2000000,1999922.7071299534,2.5740654221533068e-05,1.174153315431719e-07
40,2000000,2000000,1999922,2050000,2049920.6899599575,2.5740654221533068e-05,4.608331298714023e-07
41,2050000,2050000,2049920,2100000,2099918.761595176,2.5740654221533068e-05,-9.719442735837158e-07
42,2100000,2100000,2099918,2150000,2149916.6902018073,2.5740654221533068e-05,4.559958749924991e-07
43,2150000,2150000,2149916,2200000,2199914.6753584277,2.5740654221533068e-05,7.528791158790736e-07
44,2200000,2200000,2199914,2250000,2249912.674077598,2.5740654221533068e-05,7.784970662831451e-07
45,2250000,2250000,2249912,2300000,2299910.6959662945,2.5740654221533068e-05,3.407001079363224e-07
46,2300000,2300000,2299910,2350000,2349908.699819764,2.5740654221533068e-05,2.636267029897395e-07
47,2350000,2350000,2349908,2400000,2399906.684033237,2.5740654221533068e-05,5.793737647738881e-07
48,2400000,2400000,2399906,2450000,2449904.7671520202,2.5740654221533068e-05,-1.0830866485594844e-06
49,2450000,2450000,2449904,2500000,2499902.735681126,2.5740654221533068e-05,-4.5363732437166706e-07
50,2500000,2500000,2499902,N/A,N/A,2.5740654221533068e-05,-3.02548829036828e-08
